id_camera_i	id_camera_j	position_error
2	42	0.0197751
2	43	0.0198598
2	44	0.019717
2	45	0.0197524
2	46	0.0197578
2	47	0.0196913
2	48	0.0198064
2	49	0.0198017
2	50	0.0198043
2	51	0.0198239
2	52	0.0196941
2	53	0.0197166
2	54	0.0197796
2	55	0.0197752
2	56	0.0198234
2	57	0.019735
2	58	0.0197328
2	59	0.019772
2	60	0.0197678
2	61	0.0198545
2	62	0.0198427
2	63	0.0197903
2	64	0.0197371
2	65	0.0197541
2	66	0.0197058
2	67	0.019747
2	68	0.0197745
2	69	0.019781
2	70	0.0197904
2	71	0.0197474
2	72	0.0197888
2	73	0.0197513
2	74	0.0197719
2	75	0.0198128
2	76	0.0197657
2	77	0.0196875
2	78	0.0197529
2	79	0.0197888
2	80	0.0198007
2	81	0.0198029
2	82	0.0197498
2	83	0.0198319
2	84	0.019738
2	85	0.0198021
2	86	0.0197737
2	87	0.0197618
2	88	0.0197335
2	89	0.0197421
2	90	0.0197638
2	91	0.019748
2	92	0.0197404
2	93	0.0197833
2	94	0.0197916
2	95	0.0197989
2	96	0.019768
2	97	0.0198136
2	98	0.0197943
3	0	0.0198717
3	1	0.0202395
3	2	0.0205917
3	4	0.0189669
3	5	0.0193327
3	6	0.0193963
3	7	0.0196446
3	8	0.0197164
3	9	0.0199371
3	10	0.0201301
3	11	0.0201778
3	12	0.0198706
3	13	0.019775
3	14	0.0195165
3	15	0.0196407
3	16	0.0194111
3	17	0.0194926
3	18	0.0199615
3	19	0.0197911
3	20	0.0198553
3	21	0.0200841
3	22	0.0198721
3	23	0.0197933
3	24	0.0197566
3	25	0.0196646
3	26	0.0197646
3	27	0.0196399
3	28	0.0198635
3	29	0.0198716
3	30	0.0198374
3	31	0.0200004
3	32	0.0199271
3	33	0.0197492
3	34	0.0197142
3	35	0.0196735
3	36	0.0196883
3	37	0.0197771
3	38	0.0197395
3	39	0.0198082
3	40	0.0198157
3	41	0.0198124
3	42	0.0197646
3	43	0.0198185
3	44	0.0196374
3	45	0.0196718
3	46	0.019701
3	47	0.019661
3	48	0.0198022
3	49	0.0198134
3	50	0.019822
3	51	0.0198393
3	52	0.0196865
3	53	0.0196707
3	54	0.0197169
3	55	0.0197154
3	56	0.0197761
3	57	0.0197074
3	58	0.0197279
3	59	0.0197772
3	60	0.019781
3	61	0.0198537
3	62	0.0198303
3	63	0.0197538
3	64	0.01968
3	65	0.0196997
3	66	0.0196625
3	67	0.0197187
3	68	0.0197594
3	69	0.0197793
3	70	0.0197968
3	71	0.0197494
3	72	0.0197697
3	73	0.0197235
3	74	0.0197291
3	75	0.0197714
3	76	0.0197249
3	77	0.0196606
3	78	0.0197413
3	79	0.0197816
3	80	0.019793
3	81	0.0197951
3	82	0.0197308
3	83	0.019807
3	84	0.0197043
3	85	0.0197667
3	86	0.0197445
3	87	0.0197369
3	88	0.0197171
3	89	0.0197309
3	90	0.0197527
3	91	0.0197366
3	92	0.0197219
3	93	0.0197581
3	94	0.0197664
