id_camera_i	id_camera_j	rotation_error
4	18	1.71474
4	19	0.0999082
4	20	0.918121
4	21	3.05447
4	22	3.93071
4	23	1.64481
4	24	0.0312189
4	25	1.4564
4	26	3.44123
4	27	3.81654
4	28	1.62334
4	29	0.0386335
4	30	1.16431
4	31	3.25571
4	32	3.87354
4	33	1.50616
4	34	0.0859829
4	35	1.48783
4	36	3.55542
4	37	3.70468
4	38	1.49626
4	39	0.056767
4	40	1.56198
4	41	3.6324
4	42	3.55775
4	43	1.28363
4	44	0.212093
4	45	1.59461
4	46	3.75043
4	47	3.52663
4	48	1.17995
4	49	0.0798506
4	50	1.62456
4	51	3.77358
4	52	3.1708
4	53	0.961278
4	54	0.287451
4	55	1.83816
4	56	3.92745
4	57	3.27591
4	58	0.918514
4	59	0.123474
4	60	1.44606
4	61	3.7646
4	62	3.20548
4	63	1.01113
4	64	0.362812
4	65	2.09937
4	66	3.99549
4	67	3.00351
4	68	0.691835
4	69	0.28057
4	70	1.91058
4	71	3.8755
4	72	3.20233
4	73	1.03974
4	74	0.374967
4	75	2.40891
4	76	3.99026
4	77	2.62204
4	78	0.553933
4	79	0.327892
4	80	2.34372
4	81	3.99667
4	82	2.87969
4	83	0.845317
4	84	0.414279
4	85	2.69931
4	86	3.96998
4	87	2.43993
4	88	0.37161
4	89	0.397331
4	90	2.74499
4	91	3.96615
4	92	2.64916
4	93	0.471641
4	94	0.432815
4	95	2.76555
4	96	3.9534
4	97	2.3431
4	98	0.296393
5	0	0.414038
5	1	1.33746
5	2	3.44951
5	3	3.55535
5	4	1.14098
5	6	1.06371
5	7	3.3929
5	8	3.63424
5	9	1.59165
5	10	0.135725
5	11	0.987101
5	12	3.3883
5	13	3.49255
5	14	1.07742
5	15	0.153989
5	16	1.26513
5	17	3.47782
5	18	3.64012
5	19	1.4249
5	20	0.0393124
5	21	1.14324
5	22	3.51471
5	23	3.51948
5	24	1.21107
5	25	0.539808
5	26	1.83499
5	27	3.64946
5	28	3.53591
5	29	1.23155
5	30	0.360344
5	31	1.81061
5	32	3.77159
5	33	3.34807
5	34	1.43115
5	35	1.17855
5	36	2.54017
5	37	3.89937
5	38	3.32042
5	39	1.21338
5	40	1.02765
5	41	2.79572
5	42	3.99837
5	43	3.14605
5	44	1.86177
5	45	1.81501
5	46	3.36752
5	47	3.9913
5	48	2.83902
5	49	1.2678
5	50	1.58556
5	51	3.45552
5	52	3.81087
5	53	2.67428
5	54	2.12507
5	55	2.62574
5	56	3.92484
5	57	3.66309
5	58	2.28072
5	59	1.61768
5	60	2.20942
5	61	3.82389
5	62	3.49842
5	63	2.27398
5	64	2.31324
5	65	3.3148
5	66	3.95969
5	67	2.97876
5	68	1.70937
5	69	2.01726
5	70	3.18247
5	71	3.99937
5	72	3.10567
5	73	1.96439
5	74	2.34198
5	75	3.68453
5	76	3.58451
5	77	2.06799
5	78	1.29121
5	79	2.20252
5	80	3.72902
5	81	3.71541
5	82	2.23864
5	83	1.43257
5	84	2.39931
5	85	3.90988
5	86	3.10804
5	87	1.32747
5	88	0.947617
5	89	2.36554
5	90	3.96626
5	91	3.06223
5	92	1.39614
5	93	0.809517
5	94	2.43477
5	95	3.98202
5	96	2.68245
5	97	0.755287
5	98	0.622015
6	0	1.49758
6	1	0.289132
6	2	1.48958
6	3	3.84196
6	4	3.19054
6	5	1.06371
6	7	1.39217
6	8	3.79806
6	9	3.47813
6	10	1.40664
6	11	0.053
6	12	1.51608
6	13	3.89122
6	14	3.13526
6	15	1.18924
6	16	0.279834
6	17	1.56828
6	18	3.80364
6	19	3.3776
6	20	1.34348
6	21	0.538595
6	22	2.10786
6	23	3.91382
6	24	3.25155
6	25	1.62374
6	26	1.12022
6	27	2.12869
6	28	3.89468
6	29	3.24863
6	30	1.61724
6	31	1.45669
6	32	2.82167
6	33	3.98029
6	34	3.41817
6	35	2.47057
6	36	2.26901
6	37	3.00011
6	38	3.987
6	39	3.23942
6	40	2.21002
6	41	2.59453
6	42	3.5836
6	43	3.99984
6	44	3.68886
6	45	3.14408
6	46	3.40389
6	47	3.80857
6	48	3.95132
6	49	3.28055
6	50	2.86783
6	51	3.51215
6	52	3.99345
6	53	3.92274
6	54	3.81929
6	55	3.76316
6	56	3.98651
6	57	3.94917
6	58	3.70976
6	59	3.54144
6	60	3.57912
6	61	3.97638
6	62	3.84036
6	63	3.67383
6	64	3.89063
6	65	4
6	66	3.76865
6	67	3.36298
6	68	3.33989
6	69	3.76422
6	70	3.99482
6	71	3.79064
6	72	3.37169
6	73	3.4069
6	74	3.89949
6	75	3.89316
6	76	2.89211
6	77	2.43373
6	78	3.01349
6	79	3.85027
6	80	3.83143
6	81	2.97261
6	82	2.41296
6	83	2.9899
6	84	3.91681
6	85	3.58967
6	86	1.85166
6	87	1.51933
6	88	2.77251
6	89	3.90854
6	90	3.35323
6	91	1.77212
6	92	1.36353
6	93	2.55937
6	94	3.92698
6	95	3.23546
6	96	0.959192
6	97	0.756862
6	98	2.4789
7	0	3.54433
7	1	1.43553
7	2	0.0155163
7	3	1.84564
7	4	3.89932
7	5	3.3929
7	6	1.39217
7	8	1.73684
7	9	3.76358
7	10	3.59132
7	11	1.51836
7	12	0.328923
7	13	2.06414
7	14	3.91738
7	15	3.43609
7	16	1.61657
7	17	0.192077
7	18	1.81652
7	19	3.81933
7	20	3.59819
7	21	2.09816
7	22	1.3213
7	23	2.32251
7	24	3.87012
7	25	3.61898
7	26	2.23812
7	27	0.967267
7	28	2.18663
7	29	3.87369
7	30	3.6916
7	31	2.74649
7	32	2.18129
7	33	2.67925
7	34	3.77816
7	35	3.9254
7	36	3.12513
7	37	2.07822
7	38	2.73299
7	39	3.87217
7	40	3.85356
7	41	3.34334
7	42	2.89814
7	43	2.89477
7	44	3.53764
7	45	3.99649
7	46	3.82179
7	47	3.29269
7	48	3.34421
7	49	3.85292
7	50	3.99236
7	51	3.87932
7	52	3.65953
7	53	3.37764
7	54	3.34628
7	55	3.75127
7	56	3.97399
7	57	3.95729
7	58	3.74434
7	59	3.68265
7	60	3.83236
7	61	3.93052
7	62	3.99852
7	63	3.80082
7	64	3.20261
7	65	3.05197
7	66	3.53475
7	67	3.8938
7	68	3.9383
7	69	3.43478
7	70	3.08751
7	71	3.27001
7	72	3.84503
7	73	3.95087
7	74	3.18401
7	75	2.4248
7	76	2.58448
7	77	3.51557
7	78	3.99369
7	79	3.28805
7	80	2.11775
7	81	2.40281
7	82	3.38475
7	83	3.99992
7	84	3.13371
7	85	1.71087
7	86	1.5224
7	87	3.03052
7	88	3.99993
7	89	3.16101
7	90	1.20002
7	91	1.42905
7	92	2.81595
7	93	3.98538
7	94	3.1054
7	95	1.01466
7	96	0.665987
7	97	2.59524
7	98	3.985
8	0	3.50852
8	1	3.78185
8	2	1.65179
8	3	0.0567769
8	4	1.70077
8	5	3.63424
8	6	3.79806
8	7	1.73684
8	9	1.30832
8	10	3.42545
8	11	3.82296
8	12	1.83693
8	13	0.151019
8	14	1.78969
8	15	3.67788
8	16	3.78237
8	17	1.66653
8	18	0.0621871
8	19	1.42765
8	20	3.44759
8	21	3.91453
8	22	2.33737
8	23	0.472873
8	24	1.65292
8	25	3.63608
8	26	3.82135
8	27	1.90663
8	28	0.300281
8	29	1.57082
8	30	3.4523
8	31	3.96176
8	32	2.65677
8	33	0.690965
8	34	1.45411
8	35	3.35628
8	36	3.94053
8	37	2.27114
8	38	0.704805
8	39	1.60344
8	40	3.42164
8	41	3.9688
8	42	2.6476
8	43	0.77897
8	44	1.06411
8	45	3.02
8	46	3.99918
8	47	2.84705
8	48	1.20202
8	49	1.56699
8	50	3.15241
8	51	3.99967
8	52	2.92872
8	53	1.15721
8	54	0.799095
8	55	2.50836
8	56	3.9616
8	57	3.40676
8	58	1.68382
8	59	1.20722
8	60	2.35158
8	61	3.82734
8	62	3.53655
8	63	1.8578
8	64	0.633027
8	65	1.81314
8	66	3.84043
8	67	3.73981
8	68	2.06657
8	69	0.904515
8	70	1.56462
8	71	3.45994
8	72	3.84446
8	73	2.25755
8	74	0.610022
8	75	1.4749
8	76	3.60029
8	77	3.86256
8	78	2.3083
8	79	0.747274
8	80	1.01472
8	81	3.32618
8	82	3.94319
8	83	2.51737
8	84	0.565401
8	85	1.15916
8	86	3.27866
8	87	3.95165
8	88	2.41007
8	89	0.652778
8	90	0.745836
8	91	3.22123
8	92	3.98805
8	93	2.59203
8	94	0.54447
8	95	0.696811
8	96	2.98074
8	97	3.98966
8	98	2.57583
9	0	1.30863
9	1	3.47723
9	2	3.72548
9	3	1.24636
9	4	0.178403
9	5	1.59165
9	6	3.47813
9	7	3.76358
9	8	1.30832
9	10	1.19056
9	11	3.46724
9	12	3.70459
9	13	1.08534
9	14	0.27864
9	15	1.89655
9	16	3.6356
9	17	3.65082
9	18	1.25115
9	19	0.012338
9	20	1.37252
9	21	3.49874
9	22	3.69055
9	23	1.14748
9	24	0.276328
9	25	2.13051
9	26	3.79697
9	27	3.52585
9	28	1.10684
9	29	0.0724657
9	30	1.6955
9	31	3.65064
9	32	3.59272
9	33	0.990902
9	34	0.305975
9	35	2.18541
9	36	3.87823
9	37	3.31458
9	38	0.944115
9	39	0.190056
9	40	2.11622
9	41	3.89369
9	42	3.16423
9	43	0.81967
9	44	0.339893
9	45	2.24144
9	46	3.9594
9	47	3.07145
9	48	0.692266
9	49	0.223652
9	50	2.19212
9	51	3.95974
9	52	2.71658
9	53	0.568796
9	54	0.312653
9	55	2.35874
9	56	3.99957
9	57	2.85373
9	58	0.540698
9	59	0.178576
9	60	1.8915
9	61	3.93446
9	62	2.82414
9	63	0.648835
9	64	0.303078
9	65	2.42552
9	66	3.98529
9	67	2.70178
9	68	0.455499
9	69	0.321449
9	70	2.07634
9	71	3.95105
9	72	2.93561
9	73	0.711384
9	74	0.290533
9	75	2.60546
9	76	3.96099
9	77	2.47766
9	78	0.433267
9	79	0.348639
9	80	2.34255
9	81	3.99989
9	82	2.74832
9	83	0.629642
9	84	0.321535
9	85	2.76284
9	86	3.96688
9	87	2.46729
9	88	0.408605
9	89	0.412366
9	90	2.64987
9	91	3.97433
9	92	2.65332
9	93	0.466518
9	94	0.333444
9	95	2.68214
9	96	3.98296
9	97	2.53488
9	98	0.460076
10	0	0.0982802
10	1	1.41079
10	2	3.63083
10	3	3.33586
10	4	0.927419
10	5	0.135725
10	6	1.40664
10	7	3.59132
10	8	3.42545
10	9	1.19055
10	11	1.39742
10	12	3.6966
10	13	3.18924
10	14	0.94727
10	15	0.534751
10	16	1.85283
10	17	3.73651
10	18	3.37536
10	19	1.06392
10	20	0.198725
10	21	1.7981
10	22	3.84905
10	23	3.13369
10	24	1.08865
10	25	1.06752
10	26	2.54277
10	27	3.9062
10	28	3.17727
10	29	0.963904
10	30	0.749709
10	31	2.52114
10	32	3.98072
10	33	2.88747
10	34	1.32651
10	35	1.72603
10	36	3.19611
10	37	3.99957
10	38	2.84444
10	39	1.05885
10	40	1.55233
10	41	3.38394
10	42	3.90599
10	43	2.65091
10	44	1.72948
10	45	2.30268
10	46	3.78407
10	47	3.79522
10	48	2.24747
10	49	1.13686
10	50	2.0915
10	51	3.83019
10	52	3.39802
10	53	2.10241
10	54	1.92656
10	55	2.97653
10	56	3.9984
10	57	3.16484
